InvoiceNo|InvoiceKey|VendorNo|Date|InvoiceType|VendorName|VendorAddr1|VendorState|StatusCode|ReturnSize
P5S9b9gxEb|50KQzQ|175|29-06-2013|WORKSHOP|Harrison|North Erringer Road|Utah|404|45405
EbGyqTF66j|UNYEwO|202|07-03-2013|WORKSHOP|Arthur|Carpinteria North|Arizona|404|93066
0FGBEA6bgY|HyFk28|254|15-08-2013|OFFICE|Kennedy|Cabrillo Highway|Nebraska|404|11553
HjjCtIAgJE|QRDvk9|251|30-09-2013|OFFICE|Monroe|Cleveland Ave.|New Hampshire|301|7862
taXWmpxAuZ|6HIWks|44|08-01-2013|WORKSHOP|Harding|East Main Street|Wisconsin|401|11656
ZnaEcNEu3n|kdRE4s|100|24-07-2013|WORKSHOP|Washington|Carpinteria North|Nevada|401|148789
ywWX7uiofg|7gidcP|190|19-09-2013|OFFICE|Hayes|Padre Boulevard|Georgia|400|61806
W5QA8IiDml|JvwZIC|38|22-07-2013|OFFICE|Truman|Timberlane Drive|Wisconsin|409|122721
FbcLLAAUN7|wb3hYc|191|02-06-2013|OFFICE|Tyler|Santa Rosa North|Oregon|403|144216
ImxI3L6aKg|k4reCe|44|11-04-2013|OFFICE|Jackson|Bailard Avenue|Alabama|200|94315
n0yXndU3O9|21aVUE|161|09-02-2013|OFFICE|Reagan|Fairview Avenue|Illinois|403|92752
yeh3bjmtUE|qTwiFE|142|10-01-2013|OFFICE|Harding|Carpinteria Avenue|Kansas|200|173790
MHysWbzqln|yDST0g|237|02-04-2013|OFFICE|Garfield|East Fry Blvd.|Georgia|401|191430
5kxvOmAvYR|zxscFo|52|12-09-2013|OFFICE|Johnson|Padre Boulevard|Delaware|301|1219
Uf2SQQWvQM|cu9MkU|240|16-10-2013|OFFICE|Cleveland|Lawrenceville Suwanee|Arizona|404|45469
nCqfZLpBQH|Alf8hE|192|04-07-2013|OFFICE|Roosevelt|East Main Street|Idaho|401|97944
q1jsDfmgHU|82u9gw|213|30-10-2013|OFFICE|Truman|Carpinteria Avenue|Pennsylvania|409|73975
tIgT60s4Jm|xRRwn9|116|30-04-2013|WORKSHOP|Adams|North Ventu Park Road|Oregon|400|107163
SsfTTjzcdY|rCSpef|22|08-01-2013|OFFICE|Grant|Santa Monica Road|Rhode Island|409|134800
4k840b8Ddj|xeUISt|254|07-08-2013|WORKSHOP|Johnson|Carpinteria North|Louisiana|301|62573
HMOMd9aftS|92vcww|99|03-01-2013|WORKSHOP|Wilson|South Highway|Washington|401|118464
pwEQkqEjFQ|r9aalT|17|19-07-2013|OFFICE|Reagan|Redwood Highway|Rhode Island|400|113691
xuG0fLoDG1|Rysd48|238|30-01-2013|OFFICE|Hayes|Burnett Road|Alabama|200|46489
1sluTO9aBY|C0ex2k|3|16-09-2013|WORKSHOP|Pierce|Moreno Drive|Vermont|401|91789
Jeii0mFPKa|m15n3M|130|02-07-2013|WORKSHOP|Tyler|Santa Ana Freeway|Michigan|200|74777
1rkKCijw8A|uRohqO|225|28-09-2013|OFFICE|Wilson|Monroe Street|Kansas|401|125612
8RUOLrvqvD|RMpJlD|122|13-03-2013|WORKSHOP|Fillmore|S Rustle St|South Dakota|404|37370
luyXwBBQS4|vLRzg3|233|23-01-2013|WORKSHOP|Lincoln|Monroe Street|Minnesota|403|10642
hW559oOpg9|Bfjepm|188|14-04-2013|OFFICE|Monroe|Via Real|Florida|400|168866
3WyR1J6Ohu|vkKf36|174|21-08-2013|WORKSHOP|Johnson|South Roosevelt Drive|West Virginia|404|197405
jlFCk24t1t|3IVZij|131|21-05-2013|OFFICE|Hoover|Timberlane Drive|Indiana|404|16736
Ln1xM9o299|FN6LZf|246|21-09-2013|OFFICE|Jefferson|E Fowler Avenue|Minnesota|400|97127
NMdn4Y5IPF|SgkDIy|223|10-01-2013|OFFICE|Polk|Via Real|New Jersey|404|94145
onIj2dOJfQ|2VhbLo|233|03-06-2013|WORKSHOP|Pierce|Carpinteria South|Rhode Island|401|101171
ohSgLM0csV|V00MWH|10|11-02-2013|OFFICE|Johnson|Lindbergh Blvd|Idaho|200|135515
4l1F0VUHD3|ucYYHW|251|23-04-2013|WORKSHOP|Harding|San Ysidro Blvd|Oregon|403|82279
AFfSC8wany|RA0stt|161|05-07-2013|OFFICE|Polk|Santa Rosa South|Texas|301|93019
ktpuzTSmGH|7Gl7nf|213|13-04-2013|OFFICE|Carter|Harry S Truman Blvd|Colorado|400|180815
XfjperrTbg|7Q1zNF|108|25-05-2013|WORKSHOP|Clinton|East 1st Street|Washington|400|61179
H85ZtApsWT|CwgmQR|140|09-09-2013|OFFICE|Pierce|North Ventu Park Road|Vermont|301|187476
DAImjy6mmc|WncVNL|109|27-06-2013|WORKSHOP|Eisenhower|Jean de la Fontaine|Arkansas|403|131661
LsExFIYH3X|kkPxuz|84|19-05-2013|OFFICE|Taft|Lawrenceville Suwanee|South Carolina|301|7942
XFINbVHhRL|2kMjFC|176|10-02-2013|OFFICE|Adams|E Fowler Avenue|Texas|200|165074
yLu3LngkFJ|adORaQ|75|05-10-2013|WORKSHOP|Fillmore|Cerrillos Road|Indiana|301|139595
QDoKvuz6br|OEE3B4|194|28-09-2013|WORKSHOP|Johnson|Bayshore Freeway|Wyoming|301|19845
Bz8WUFt0rX|0NbtSL|222|16-10-2013|OFFICE|Jefferson|North Preisker Lane|Utah|403|3290
6c3isaYko4|Wbq1AX|98|22-07-2013|OFFICE|Fillmore|Lawrenceville Suwanee|Tennessee|301|100415
60PJHiZ1Mb|f19KGH|252|04-03-2013|WORKSHOP|Fillmore|Castillo Drive|West Virginia|403|153080
nmUESNjMg1|5HXdpw|205|23-04-2013|WORKSHOP|Harrison|N Kentwood|Indiana|404|178203
95PasaM88l|9hRbF1|100|21-04-2013|WORKSHOP|Tyler|Monroe Street|Ohio|301|39730
XpEbIaS2Rm|L1RGzD|224|10-04-2013|OFFICE|Cleveland|Grandview Drive|Iowa|400|97242
sqrEoTjdWP|o6FyfX|43|25-08-2013|OFFICE|Kennedy|Newbury Road|Nevada|403|119499
3kKwdp6qwQ|LjaTt4|42|27-02-2013|OFFICE|Wilson|Timberlane Drive|Massachusetts|301|5889
aiyTbTFVJa|RPSpBF|252|16-09-2013|WORKSHOP|Tyler|Tanger Blvd|Nebraska|404|90674
YQJ2kY2DE0|Aa4MbS|37|12-06-2013|OFFICE|Eisenhower|Carpinteria North|Mississippi|301|152618
Zi6E8MPLij|3nmv3T|121|13-01-2013|OFFICE|Clinton|El Camino Real|Louisiana|400|93833
9JSkfIFo5P|RBJ7Kc|249|18-09-2013|OFFICE|Reagan|S Rustle St|Maine|301|49737
xIDoJGxdWn|MAyCvd|183|23-02-2013|OFFICE|Coolidge|Fairview Avenue|Missouri|404|39311
PoLkbjf0uj|3ObOPf|64|06-10-2013|OFFICE|Polk|Corona Del Mar|Ohio|409|142838
IquQXXkN50|NS6JVk|12|13-10-2013|WORKSHOP|Jefferson|Richmond Hill|New York|400|17747
WlN2yMEBOG|LWyE9J|181|23-08-2013|WORKSHOP|Ford|North Atherton Street|Wyoming|401|28845
rzHpnga24n|4iPTQD|251|01-10-2013|WORKSHOP|Roosevelt|Fairview Avenue|Georgia|404|13231
RF65z4OorN|nkSrZx|42|16-09-2013|OFFICE|Buchanan|Santa Ana Freeway|Massachusetts|403|135109
1gdIMf7hxa|05sHmP|145|22-04-2013|OFFICE|Truman|Timberlane Drive|Michigan|400|69407
Lwr7DFDP9u|cLjSFU|106|10-04-2013|OFFICE|Taft|Carpinteria South|Colorado|404|15483
Eyfz1ijFQT|RKQJNi|55|29-06-2013|OFFICE|Taft|East 1st Street|Georgia|200|59531
ofUJJenuUO|ellttP|165|02-09-2013|WORKSHOP|Nixon|Padre Boulevard|Iowa|404|26243
