VendorNo|VendorName|VendorContact|VendorAddr1|VendorState|VendorZipCode|VendorProductLine
24|Wilson|George|Hutchinson Rd|Arkansas|40767|Travel
12|Van Buren|Warren|South Highway|Iowa|92238|Electronics
175|Jefferson|Dwight|San Diego Freeway|Washington|76248|Computers
231|Truman|Bill|Burnett Road|Ohio|69108|Electronics
127|Harrison|Ronald|Pacific Hwy S|Arkansas|37754|Security
40|Cleveland|Harry|S Rustle St|Oregon|34968|Security
168|Madison|Rutherford|Bayshore Freeway|Connecticut|39380|Security
175|Coolidge|Richard|Milpas Street|Tennessee|25166|Computers
15|Jackson|John|Fairview Avenue|Kentucky|39115|Freight
163|Hoover|Benjamin|W. Russell St.|Arizona|56074|Furniture
163|Tyler|Franklin|North Ventu Park Road|Wisconsin|82227|Computers
194|Harding|Ronald|E Fowler Avenue|Iowa|41832|Electronics
212|Arthur|Rutherford|Cabrillo Highway|Mississippi|23235|Freight
6|Tyler|John|Bayshore Freeway|Idaho|44117|Travel
184|Johnson|Lyndon|Lake Tahoe Blvd.|North Dakota|65297|Computers
109|Clinton|Jimmy|Carpinteria North|Maine|25436|Travel
200|McKinley|William|Newbury Road|California|39766|Computers
180|Lincoln|Andrew|North Atherton Street|Oklahoma|55681|Furniture
162|Adams|Andrew|Lake Tahoe Blvd.|Missouri|87128|Furniture
5|Nixon|Richard|North Broadway Street|Wisconsin|72137|Freight
194|Coolidge|Warren|East Fry Blvd.|North Carolina|93456|Electronics
179|Cleveland|Zachary|Tanger Blvd|Maine|48030|Freight
203|Hoover|Benjamin|Corona Del Mar|Arkansas|28477|Computers
213|Carter|Lyndon|Santa Rosa North|Hawaii|95296|Computers
217|McKinley|Millard|San Luis Obispo North|Colorado|99962|Electronics
105|Harrison|Warren|East Calle Primera|Iowa|46749|Travel
250|Hoover|William|Katella Avenue|North Dakota|51227|Freight
205|Monroe|Lyndon|Fairview Avenue|Oklahoma|53554|Freight
31|Wilson|James|Padre Boulevard|Delaware|50651|Security
125|Ford|Woodrow|N Kentwood|South Dakota|73540|Security
161|Harrison|Woodrow|Cleveland Ave.|Washington|98754|Security
15|Harrison|Rutherford|South Roosevelt Drive|Connecticut|36753|Freight
213|Monroe|Rutherford|Fontaine Road|Montana|76197|Freight
246|Buchanan|James|Bailard Avenue|Arkansas|34428|Security
34|Wilson|William|Fontaine Road|Washington|41734|Security
191|Carter|James|Richmond Hill|Illinois|30774|Freight
159|Fillmore|Chester|N Kentwood|New York|40441|Security
31|Fillmore|Andrew|Moreno Drive|Montana|99124|Computers
133|Roosevelt|Richard|Carpinteria Avenue|Mississippi|32785|Computers
172|Hayes|Andrew|Tully Road East|South Carolina|57322|Electronics
59|Tyler|William|Cleveland Ave.|Ohio|26537|Travel
225|Wilson|Grover|Santa Rosa South|Virginia|99556|Travel
129|Jefferson|Ulysses|San Simeon|Massachusetts|30589|Computers
163|Monroe|Rutherford|Carpinteria Avenue|Arizona|81944|Computers
204|Buchanan|Calvin|Cleveland Ave.|New York|63511|Electronics
163|Fillmore|Millard|North Atherton Street|Louisiana|72775|Freight
203|Pierce|Calvin|Woodson Rd.|North Carolina|40234|Freight
157|Clinton|Andrew|Lindbergh Blvd|Ohio|36327|Electronics
208|Taylor|Andrew|Bailard Avenue|Wisconsin|27487|Furniture
211|Pierce|Chester|Grandview Drive|Indiana|48459|Freight
8|Jefferson|Dwight|French Camp Turnpike Road|Texas|69300|Electronics
9|Hoover|Thomas|Camelback Rd|Louisiana|87029|Computers
43|Ford|Calvin|North Ventu Park Road|Oregon|49044|Travel
162|Johnson|Warren|Steele Lane|Nevada|78449|Electronics
225|Johnson|Gerald|North Broadway Street|Iowa|63098|Computers
227|Harrison|Gerald|San Luis Obispo North|Alaska|57825|Travel
246|Pierce|Martin|Bayshore Freeway|Oklahoma|66498|Furniture
166|Hoover|Herbert|San Diego Freeway|New Hampshire|47428|Computers
20|Taylor|Jimmy|Tanger Blvd|Ohio|24148|Furniture
107|Polk|Chester|North Atherton Street|South Dakota|43356|Electronics
15|Eisenhower|Rutherford|Calle Real|Wisconsin|62142|Security
100|McKinley|Grover|Bowles Avenue|Mississippi|67737|Travel
111|Reagan|Millard|North Atherton Street|Oregon|73740|Travel
138|Adams|Woodrow|Apalachee Parkway|Washington|71271|Security
100|Harrison|Ulysses|Richmond Hill|West Virginia|49017|Furniture
249|Jefferson|Herbert|Fontaine Road|Maine|25207|Computers
42|Taft|John|San Marcos|Rhode Island|77330|Furniture
90|Polk|Abraham|Pacific Hwy S|Louisiana|33892|Electronics
168|Polk|John|Cleveland Ave.|South Carolina|61899|Electronics
96|Hayes|Chester|Lindbergh Blvd|Ohio|51228|Freight
3|Nixon|Herbert|North Broadway Street|Alaska|30521|Computers
87|Jackson|Andrew|Jones Road|Oklahoma|41018|Furniture
217|Ford|Lyndon|Santa Rosa South|Michigan|36752|Furniture
255|Carter|Chester|East 1st Street|Florida|60163|Travel
255|Roosevelt|Zachary|Castillo Drive|Georgia|88469|Furniture
